Ticker;Name;Industry;Sub Industry;Headquarters Location;Date added
TECH;Bio Techne;Health Care;Life Sciences Tools & Services;Minneapolis, Minnesota;2021
TEL;TE Connectivity;Information Technology;Electronic Manufacturing Services;Schaffhausen, Switzerland;2011
TER;Teradyne;Information Technology;Semiconductor Equipment;North Reading, Massachusetts;2020
TFC;Truist;Financials;Regional Banks;Charlotte, North Carolina;1997
TFX;Teleflex;Health Care;Health Care Equipment;Wayne, Pennsylvania;2019
TGT;Target Corporation;Consumer Discretionary;General Merchandise Stores;Minneapolis, Minnesota;1976
TJX;TJX Companies;Consumer Discretionary;Apparel Retail;Framingham, Massachusetts;1985
TMO;Thermo Fisher Scientific;Health Care;Life Sciences Tools & Services;Waltham, Massachusetts;2004
TMUS;T Mobile US;Communication Services;Wireless Telecommunication Services;Bellevue, Washington;2019
TRGP;Targa Resources;Energy;Oil & Gas Storage & Transportation;Houston, Texas;2022
TRMB;Trimble Inc;Information Technology;Electronic Equipment & Instruments;Westminster, Colorado;2021
TRV;The Travelers Companies;Financials;Property & Casualty Insurance;New York City, New York;2002
TSCO;Tractor Supply;Consumer Discretionary;Specialty Stores;Brentwood, Tennessee;2014
TSLA;Tesla Inc;Consumer Discretionary;Automobile Manufacturers;Austin, Texas;2020
TSN;Tyson Foods;Consumer Staples;Packaged Foods & Meats;Springdale, Arkansas;2005
TT;Trane Technologies;Industrials;Building Products;Dublin, Ireland;2010
TTWO;Take Two Interactive;Communication Services;Interactive Home Entertainment;New York City, New York;2018
TXT;Textron;Industrials;Aerospace & Defense;Providence, Rhode Island;1978
TYL;Tyler Technologies;Information Technology;Application Software;Plano, Texas;2020
UAL;United Airlines Holdings;Industrials;Airlines;Chicago, Illinois;2015
UDR;UDR Inc;Real Estate;Residential REITs;Highlands Ranch, Colorado;2016
UHS;Universal Health Services;Health Care;Health Care Facilities;King of Prussia, Pennsylvania;2014
ULTA;Ulta Beauty;Consumer Discretionary;Specialty Stores;Bolingbrook, Illinois;2016
UNH;UnitedHealth Group;Health Care;Managed Health Care;Minnetonka, Minnesota;1994
UNP;Union Pacific Corporation;Industrials;Railroads;Omaha, Nebraska;1957
UPS;United Parcel Service;Industrials;Air Freight & Logistics;Sandy Springs, Georgia;2002
URI;United Rentals;Industrials;Trading Companies & Distributors;Stamford, Connecticut;2014
V;Visa Inc;Information Technology;Data Processing & Outsourced Services;San Francisco, California;2009
VFC;VF Corporation;Consumer Discretionary;Apparel  Accessories & Luxury Goods;Denver  Colorado;1979
VICI;Vici Properties;Real Estate;Hotel & Resort REITs;New York City, New York;2022
VMC;Vulcan Materials Company;Materials;Construction Materials;Birmingham, Alabama;1999
VRSK;Verisk;Industrials;Research & Consulting Services;Jersey City, New Jersey;2015
VRSN;Verisign;Information Technology;Internet Services & Infrastructure;Dulles, Virginia;2006
VRTX;Vertex Pharmaceuticals;Health Care;Biotechnology;Cambridge, Massachusetts;2013
VTR;Ventas;Real Estate;Health Care REITs;Chicago, Illinois;2009
VTRS;Viatris;Health Care;Pharmaceuticals;Pittsburgh, Pennsylvania;2004
VZ;Verizon;Communication Services;Integrated Telecommunication Services;New York City, New York;1983
WAB;Wabtec;Industrials;Construction Machinery & Heavy Trucks;Pittsburgh, Pennsylvania;2019
WBA;Walgreens Boots Alliance;Consumer Staples;Drug Retail;Deerfield, Illinois;1979
WBD;Warner Bros Discovery;Communication Services;Broadcasting;New York City, New York;2022
