Name,Industry,Sub Industry,Headquarters Location,Date added,,,
IDEX Corporation,8,Industrial Machinery,Lake Forest, Illinois,2019,,,
International Flavors & Fragrances,10,Specialty Chemicals,New York City, New York,1976,,,
Illumina,7,Life Sciences Tools & Services,San Diego, California,2015,,,
Incyte,7,Biotechnology,Wilmington, Delaware,2017,,,
Intel,9,Semiconductors,Santa Clara, California,1976,,,
Intuit,9,Application Software,Mountain View, California,2000,,,
Invitation Homes,11,Residential REITs,Dallas, Texas,2022,,,
International Paper,10,Paper Packaging,Memphis, Tennessee,1957,,,
The Interpublic Group of Companies,1,Advertising,New York City, New York,1992,,,
IQVIA,7,Life Sciences Tools & Services,Durham, North Carolina,2017,,,
Ingersoll Rand,8,Industrial Machinery,Davidson, North Carolina,2020,,,
Iron Mountain,11,Specialized REITs,Boston, Massachusetts,2009,,,
Intuitive Surgical,7,Health Care Equipment,Sunnyvale, California,2008,,,
Gartner,9,IT Consulting & Other Services,Stamford, Connecticut,2017,,,
Illinois Tool Works,8,Industrial Machinery,Glenview, Illinois,1986,,,
Invesco,6,Asset Management & Custody Banks,Atlanta, Georgia,2008,,,
Jacobs Solutions,8,Construction & Engineering,Dallas, Texas,2007,,,
JB Hunt,8,Trucking,Lowell, Arkansas,2015,,,
Johnson Controls,8,Building Products,Cork, Ireland,2010,,,
Jack Henry & Associates,9,Data Processing & Outsourced Services,Monett, Missouri,2018,,,
Johnson & Johnson,7,Pharmaceuticals,New Brunswick, New Jersey,1973,,,
Juniper Networks,9,Communications Equipment,Sunnyvale, California,2006,,,
JPMorgan Chase,6,Diversified Banks,New York City, New York,1975,,,
Kellogg s,5,Packaged Foods & Meats,Battle Creek, Michigan,1989,,,
Keurig Dr Pepper,5,Soft Drinks,Burlington, Massachusetts,2022,,,
KeyCorp,6,Regional Banks,Cleveland, Ohio,1994,,,
Keysight,9,Electronic Equipment & Instruments,Santa Rosa, California,2018,,,
Kraft Heinz,5,Packaged Foods & Meats,"Chicago, Illinois,  Pittsburgh, Pennsylvania",2015,,,
Kimco Realty,11,Retail REITs,New Hyde Park, New York,2006,,,
Kimberly Clark,5,Household Products,Irving, Texas,1957,,,
Kinder Morgan,4,Oil & Gas Storage & Transportation,Houston, Texas,2012,,,
CarMax,2,Automotive Retail,Richmond, Virginia,2010,,,
The Coca Cola Company,5,Soft Drinks,Atlanta, Georgia,1957,,,
Kroger,5,Food Retail,Cincinnati, Ohio,1957,,,
Leidos,8,Diversified Support Services,Reston, Virginia,2019,,,
Lennar,2,Homebuilding,Miami, Florida,2005,,,
LabCorp,7,Health Care Services,Burlington, North Carolina,2004,,,
LeHarris,8,Aerospace & Defense,Melbourne, Florida,2008,,,
Linde plc,10,Industrial Gases,Guildford, United Kingdom,1992,,,
LKQ Corporation,2,Distributors,Chicago, Illinois,2016,,,
Eli Lilly and Company,7,Pharmaceuticals,Indianapolis, Indiana,1970,,,
Lockheed Martin,8,Aerospace & Defense,Bethesda, Maryland,1984,,,
Lincoln Financial,6,Multi line Insurance,Radnor, Pennsylvania,1976,,,
Alliant Energy,12,Electric Utilities,Madison, Wisconsin,2016,,,
Lowe s,2,Home Improvement Retail,Mooresville, North Carolina,1984,,,
Lam Research,9,Semiconductor Equipment,Fremont, California,2012,,,
Lumen Technologies,1,Alternative Carriers,Monroe, Louisiana,1999,,,
Southwest Airlines,8,Airlines,Dallas, Texas,1994,,,
Las Vegas Sands,2,Casinos & Gaming,Las Vegas, Nevada,2019,,,
Lamb Weston,5,Packaged Foods & Meats,Eagle, Idaho,2018,,,
LyondellBasell,10,Specialty Chemicals,Rotterdam, Netherlands,2012,,,
Live Nation Entertainment,1,Movies & Entertainment,Beverly Hills, California,2019,,,
Mastercard,9,Data Processing & Outsourced Services,Harrison, New York,2008,,,
Mid America Apartment Communities,11,Residential REITs,Memphis, Tennessee,2016,,,
Masco,8,Building Products,Livonia, Michigan,1981,,,
McDonald s,2,Restaurants,Chicago, Illinois,1970,,,
Microchip Technology,9,Semiconductors,Chandler, Arizona,2007,,,
Mondelez International,5,Packaged Foods & Meats,Chicago, Illinois,2012,,,
Medtronic,7,Health Care Equipment,Dublin, Ireland,1986,,,
Meta Platforms,1,Interactive Media & Services,Menlo Park, California,2013,,,
MGM Resorts,2,Casinos & Gaming,Paradise, Nevada,2017,,,
Mohawk Industries,2,Home Furnishings,Calhoun, Georgia,2013,,,
McCormick & Company,5,Packaged Foods & Meats,Hunt Valley, Maryland,2003,,,
MarketAxess,6,Financial Exchanges & Data,New York City, New York,2019,,,
Martin Marietta Materials,10,Construction Materials,Raleigh, North Carolina,2014,,,
Marsh McLennan,6,Insurance Brokers,New York City, New York,1987,,,
3M,8,Industrial Conglomerates,Saint Paul, Minnesota,1976,,,
Monster Beverage,5,Soft Drinks,Corona, California,2012,,,
Altria,5,Tobacco,Richmond, Virginia,1957,,,
Molina Healthcare,7,Managed Health Care,Long Beach, California,2022,,,
The Mosaic Company,10,Fertilizers & Agricultural Chemicals,Tampa, Florida,2011,,,
Marathon Petroleum,4,Oil & Gas Refining & Marketing,Findlay, Ohio,2011,,,
Monolithic Power Systems,9,Semiconductors,Kirkland, Washington,2021,,,
Merck & Co,7,Pharmaceuticals,Kenilworth, New Jersey,1957,,,
Moderna,7,Biotechnology,Cambridge, Massachusetts,2021,,,
Marathon Oil,4,Oil & Gas Exploration & Production,Houston, Texas,1991,,,
MSCI,6,Financial Exchanges & Data,New York City, New York,2018,,,
Microsoft,9,Systems Software,Redmond, Washington,1994,,,
M&T Bank,6,Regional Banks,Buffalo, New York,2004,,,
Match Group,1,Interactive Media & Services,Dallas, Texas,2021,,,
Mettler Toledo,7,Life Sciences Tools & Services,Columbus, Ohio,2016,,,
Micron Technology,9,Semiconductors,Boise, Idaho,1994,,,
Norwegian Cruise Line Holdings,2,Hotels  Resorts & Cruise Lines,Miami  Florida,2017,,,
Nasdaq Inc,6,Financial Exchanges & Data,New York City, New York,2008,,,
Nordson Corporation,8,Industrial Machinery,Westlake, Ohio,2022,,,
NextEra Energy,12,Multi Utilities,Juno Beach, Florida,1976,,,
Newmont,10,Gold,Denver, Colorado,1969,,,
Netflix,1,Movies & Entertainment,Los Gatos, California,2010,,,
Nike Inc,2,Apparel  Accessories & Luxury Goods,Washington County  Oregon,1988,,,
Northrop Grumman,8,Aerospace & Defense,West Falls Church, Virginia,1985,,,
ServiceNow,9,Systems Software,Santa Clara, California,2019,,,
NRG Energy,12,Independent Power Producers & Energy Traders,Houston, Texas,2010,,,
Norfolk Southern Railway,8,Railroads,Atlanta, Georgia,1957,,,
NetApp,9,Technology Hardware  Storage & Peripherals,San Jose  California,1999,,,
Nucor,10,Steel,Charlotte, North Carolina,1985,,,
Nvidia,9,Semiconductors,Santa Clara, California,2001,,,
NVR Inc,2,Homebuilding,Reston, Virginia,2019,,,
Newell Brands,2,Housewares & Specialties,Atlanta, Georgia,1989,,,
News Corp Class B,1,Publishing,New York City, New York,2015,,,
News Corp Class B,1,Publishing,New York City, New York,2013,,,
NXP Semiconductors,9,Semiconductors,Eindhoven, Netherlands,2021,,,
Realty Income,11,Retail REITs,San Diego, California,2015,,,
Old Dominion,8,Trucking,Thomasville, North Carolina,2019,,,
Organon & Co,7,Pharmaceuticals,Jersey City, New Jersey,2021,,,
ONEOK,4,Oil & Gas Storage & Transportation,Tulsa, Oklahoma,2010,,,
ON Semiconductor,9,Semiconductors,Phoenix, Arizona,2022,,,
Oracle Corporation,9,Application Software,Austin, Texas,1989,,,
O Reilly Auto Parts,2,Specialty Stores,Springfield, Missouri,2009,,,
Otis Worldwide,8,Industrial Machinery,Farmington, Connecticut,2020,,,
Occidental Petroleum,4,Oil & Gas Exploration & Production,Houston, Texas,1982,,,
Paycom,9,Application Software,Oklahoma City, Oklahoma,2020,,,
Paccar,8,Construction Machinery & Heavy Trucks,Bellevue, Washington,1980,,,
PG&E Corporation,12,Multi Utilities,San Francisco, California,2022,,,
Healthpeak,11,Health Care REITs,Long Beach, California,2008,,,
Public Service Enterprise Group,12,Electric Utilities,Newark, New Jersey,1957,,,
